car_park_no,address,x_coord,y_coord,night_parking
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,YES
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,YES
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,YES
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,NO
AK31,BLK 302/348 ANG MO KIO ST 31,29482.029,38684.1754,NO
AK52,BLOCK 513 ANG MO KIO ST 53,29889.3457,39382.8134,YES
AK6,BLOCK 728 ANG MO KIO AVE 6,29283.7324,39647.8906,NO
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,31397.2241,39851.6191,NO
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,NO
AM14,BLK 227 ANG MO KIO ST 23,28777.0707,38973.9528,YES
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,YES
AM18,BLK 308C ANG MO KIO AVE 1,29257.6457,38619.9953,NO
AM19,BLK 260 ANG MO KIO ST 21,28134.9305,38989.9965,YES
AM20,BLK 309B ANG MO KIO ST 31,29421.1502,38526.8611,YES
AM22,BLK 316B ANG MO KIO STREET 31,29595.2539,38514.7606,YES
AM32,BLK 255A ANG MO KIO ST 21,28117.7689,39172.0389,YES
AM43,BLK 455 ANG MO KIO ST 44,30669.2379,38959.5487,YES
AM46,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,YES
AM51,BLK 700 ANG MO KIO AVE 6,29489.025,39103.7605,YES
AM64,BLK 590 ANG MO KIO ST 51,30201.236,39274.274,YES
AM79,BLK 596 ANG MO KIO STREEET 52,30004.2224,39370.6063,YES
AM80,BLK 130A ANG MO KIO ST 12,28950.7223,39184.6976,YES
AM81,BLK 132A ANG MO KIO ST 12,28960.3285,39294.4158,YES
AM96,BLK 352A ANG MO KIO STREET 32,29961.0968,38457.9118,YES
AR1L,3 AND 5 DOVER ROAD,22359.0217,31801.6379,NO
AR1M,BLK 2A DOVER ROAD,22474.205,31687.9608,YES
AR2L,BLK 26 AND 27 DOVER CRESCENT,22194.6359,32026.8288,NO
AR2M,BLK 28 DOVER CRESCENT,22252.486,31896.9749,YES
AR5M,BLK 19A DOVER CRESCENT,22562.8641,32184.9758,YES
AR7L,12 TO 14 DOVER CLOSE EAST,22688.3753,32015.1518,NO
AR7M,BLK 12A DOVER CLOSE EAST,22643.9533,31900.5591,YES
AR9,BLK 20/22/23 DOVER CRESCENT,22448.9368,32178.436,NO
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,24649.752,29778.7266,YES
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,24941.5778,29704.4978,YES
A1,BLK 215 ANG MO KIO STREET 22,28934.1777,38749.8516,YES
A10,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962,YES
A100,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,YES
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,28541.14,38785.36,YES
A12,BLK 229/230 ANG MO KIO ST 22,28596.14,38948.38,YES
A13,BLK 232/233 ANG MO KIO ST 22,28388.51,38892.03,YES
A15,BLK 226E-226H ANG MO KIO ST 22,28790.02,38777.85,YES
A2,BLK 206/207 ANG MO KIO STREET 22,29082.59,38697.07,YES
A20,BLK 304/307/319 ANG MO KIO ST 31,29684.7366,38554.0251,YES
A21,BLK 325/326/301 ANG MO KIO STREET 31,29446.1477,38906.1139,YES
A23,BLK 347A ANG MO KIO AVENUE 3,29735.5099,38818.5301,YES
A24,BLK 338/340 ANG MO KIO ST 32,29789.41,38533.02,YES
A25,BLK 330/337 ANG MO KIO AVE 8,30037.566,38313.6296,YES
A26,BLK 113/114/118 ANG MO KIO AVE 4,28236.93,39419.47,YES
A27,BLK 108/109/110 ANG MO KIO ST 11,28556.67,39153.3,YES
A28,BLK 103/105/107 ANG MO KIO ST 11,28461.3669,39295.5961,YES
A29,BLK 347 ANG MO KIO AVENUE 3,29713.5035,38806.4544,YES
A30,BLK 129/134 ANG MO KIO STREET 12,29012.7631,39222.5981,YES
A30A,BLK 133 ANG MO KIO STREET 12,29050.5605,39137.2773,NO
A31,BLK 119/128 ANG MO KIO ST 12,29155.32,39163.04,YES
A31A,BLK 125/126 ANG MO KIO STREET 12,29150.6699,39318.7539,NO
A33,BLK 253/254 ANG MO KIO STREET 21,28152.8391,39115.4784,YES
A34,BLK 422/425 ANG MO KIO ST 42,30042,38931.43,YES
A35,BLK 426/428/435 ANG MO KIO ST 43,30310.66,38963.49,YES
A36,BLK 436/443/445 ANG MO KIO ST 43,30443.9088,38715.8847,YES
A37,BLK 446/449/453 ANG MO KIO ST 43,30474.8188,38904.5192,YES
A38,BLK 407/410/421 ANG MO KIO AVE 10,30367.0774,38445.7028,YES
A39,BLK 401/405 ANG MO KIO AVE 10,30309.63,38134.69,YES
A4,BLK 217/220 ANG MO KIO AVENUE 1,28876.2363,38636.7578,YES
A40,BLK 471/476 ANG MO KIO ST 44,30633.47,38267.95,YES
A41,BLK 466/470 ANG MO KIO ST 44,30627.96,38553.32,YES
A42,BLK 461/465 ANG MO KIO ST 44,30675.9559,38735.0223,YES
A43,BLK 457/458/460 ANG MO KIO ST 44,30887.78,38670.51,YES
A44,BLK 459/456 ANG MO KIO ST 44,30856.9781,38804.1956,YES
A45,BLK 570/578 ANG MO KIO ST 51,30438.53,39214.64,YES
A47,BLK 562/565/560 ANG MO KIO STREET 54,30885.475,39174.8899,YES
A48,BLK 571/73 ANG MO KIO ST 51,30374.18,39154.22,YES
A49,BLK 555/559 ANG MO KIO STREET 54,30724.16,39260.19,YES
A50,BLK 548/552/556 ANG MO KIO STREET 54,30703.29,39392.09,YES
A51,BLK 252/253A ANG MO KIO STREET 21,28117.6053,39054.6321,YES
A52,BLK 701/716 ANG MO KIO AVE 3/6,29513.9566,39155.7785,YES
A52L,BLK 700B/ 700C ANG MO KIO AVE 3/6,29426.2389,39033.615,NO
A53,BLK 712A ANG MO KIO AVE 3/6,29508.9218,39208.8091,YES
A54,BLK 727/728 ANG MO KIO AVE 6,29401.8671,39382.3378,YES
A55,BLK 729/730 ANG MO KIO AVE 6/8,29485.5,39515.49,YES
A56,BLK 725/730 ANG MO KIO AVE 8,29538.847,39411.5653,YES
A57,BLK 720/723 ANG MO KIO AVE 8,29518.5871,39336.4776,YES
A58,BLK 721/722 ANG MO KIO AVE 8,29603.16,39372.68,YES
A59,BLK 547/551 ANG MO KIO ST 54,30762.295,39543.9937,YES
A60,BLK 540/546 ANG MO KIO ST 54,30514.5273,39606.8281,YES
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,30096.82,39574.31,YES
A63,BLK 501/513/508 ANG MO KIO ST 52/53,29789.5613,39690.0448,YES
A64,BLK 584/586 ANG MO KIO ST 51,30241.6957,39172.3075,YES
A65,BLK 558/560 ANG MO KIO STREET 54,30904.46,39226.97,YES
A66,BLK 601/604/603 ANG MO KIO AVE 5,28260.64,40279.16,YES
A67,BLK 605/612 ANG MO KIO AVE 4/5,28499.27,40184.22,YES
A68,BLK 620/624/626 ANG MO KIO ST 61,28727.3335,40428.7342,YES
A69,BLK 623/625/627 ANG MO KIO ST 61,28960.06,40400.41,YES
A7,BLK 212/213 ANG MO KIO STREET 23,28888.4313,38935.4059,YES
A70,BLK 629/626 ANG MO KIO AVE 4,28755.4887,40287.5326,YES
A71,BLK 628/632 ANG MO KIO ST 61,28826.1219,40219.911,YES
A72,BLK 633/640 ANG MO KIO ST 61,29136.44,40303.05,YES
A73,BLK 641/645 ANG MO KIO ST 61,28835.3369,40091.5441,YES
A74,BLK 646/649 ANG MO KIO ST 61,29166.97,40069.8164,YES
A75,BLK 177/182 ANG MO KIO AVE 4,28597.1669,39798.961,YES
A76,BLK 613A ANG MO KIO AVENUE 4,28613.8871,39995.2242,YES
A77,BLK 150/156 ANG MO KIO AVE 5,28741.1744,39815.655,YES
A78,BLK 157/163 ANG MO KIO AVE 4,28564.0295,39632.2729,YES
A8,BLK 209/210 ANG MO KIO STREET 22,29111.67,38975.61,YES
A81,BLK 170/172 ANG MO KIO ST 13,28351.6931,39594.7701,YES
A82,BLK 173/176 ANG MO KIO AVE 4,28342.7741,39740.6593,YES
A83,BLK 5022 TO 5095 ANG MO KIO IND PARK 2,31046.8301,39589.4805,YES
A85,BLK 340 ANG MO KIO ST 32,29824.1,38572.16,NO
