name,car_park_no,address,weekday_before_5,weekday_after_5,sat,sun,postal,x_coord,y_coord
10 Raeburn Park,T0014,"10 Raeburn Park, S(088702)","$2.20 for 1st hr, $1.10 for next subsequent 30min from 7am to 5pm ",$2.50/entry from 5pm to 7am the following day ,Charges same as weekdays ,$2.50/entry from 8am to 8am the following day ,88702,28089.11963,28500.03593
100 Pasir Panjang,T0014,100 Pasir Panjang Road S(118518),"$1.80 for 1st hr, $0.80 for next subsequent 30min or part thereof from 7am to 7pm ",$3.50/entry from 7pm to 7am the following day ,Charges same as weekdays ,$3.50/entry from 7pm to 7am the following day ,118518,23826.22172,28659.98358
15 Changi Business Park,T0014,"15 Changi Business Park Central 1, S(486057)",$0.60/30min from 7am to 7pm ,"$0.60/30min from 7pm to 7am the following day, capped at $4.00 ",Charges same as weekdays ,Charges same as weekdays ,486057,42540.28258,35503.16699
1557 Keppel Road,T0014,"1557 Keppel Road, S(089066)","$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 6pm ",$2.14/entry from 7pm to 7am the following day ,$2.14/entry from 7am to 7am the following day ,$2.14/entry from 7am to 7am the following day ,89066,28810.37896,28404.89192
18 New Industrial Road,T0014,"18 New Industrial Road, S(536205)","$1.28 for 1st hr, $0.64 for next subsequent 30min from 7am to 6pm ",$2.00/entry from 6pm to 7am the following day ,Charges same as weekdays ,$2.00/entry from 7am to 7am the following day ,536205,33884.50799,36154.67974
18 Tai Seng,T0014,"18 Tai Seng Street, S(539775)",$1.00/30min from 6am to 5pm ,"$2.00/entry from 5pm to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 ","$1.00/30min from 6am to 2pm, $2.00/entry from 2pm to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 ","$2.00/entry from 6am to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 ",539775,34170.34542,35413.24278
20 Collyer Quay,T0014,"20 Collyer Quay, S(049319)",$2.50/30min from 6am to 5pm ,$3.20/entry from 5pm to 11pm ,Charges same as weekdays ,Closed ,49319,30153.46474,29678.64486
22 Martin Road,T0014,"22 Martin Road, S(239058)","$0.10 for first 5min, subsequently $2.00/hr from 7am to 6pm ","$0.10 for first 5min, subsequently $3.00/hr from 6am to 2am the following day ","$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day ","$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day ",239058,28577.50908,30475.56173
26 Tai Seng Street,T0014,"26 Tai Seng Street, S(534057)",$0.75/30min from 7am to 7pm ,$0.75/30min from 7pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,534057,34223.80279,35302.2117
2HR,T0014,"2 Havelock Road, S(059763)",$1.50/30min from 7am to 4.59pm ,$3.00/entry from 5pm to 7am the following day ,Charges same as weekdays ,$3.00/entry from 7am to 7am the following day ,59763,29289.06307,29905.42539
34 Boon Leat Terrace,T0014,"34 Boon Leat Terrace, S(119866)","$2.20 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm ",$2.50/entry from 6pm to 7am the following day ,"$1.60 for 1st hr, $0.80 for next subsequent 30min from 7am to 1pm, $2.50/entry from 1pm to 7am the following day ",$2.50/entry from 7am to 7am the following day ,119866,23978.87909,28724.14211
3B Toh Guan Road East,T0014,"3B Toh Guan Road East, S(608833)","$2.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm  ","$2.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,608833,18674.80509,35622.37067
50 Scotts Road,T0014,"50 Scotts Road, S(228242)","$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 10.59am and 2pm to 4.59pm; $3.00 for 1st hr, $1.50 for next subsequent 30min from 11am to 1.59pm ",$3.50/entry from 5pm to 6.59am the following day ,$3.50/entry from 7am to 6.59am the following day ,$3.50/entry from 7am to 6.59am the following day ,228242,28419.43526,32577.30493
51 Bencoolen Street,T0014,"51 Bencoolen Street, S(189630)",$1.00/30min from 7am to 6pm ,$2.00/hr from 6.01pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,189630,29898.34072,31302.21097
6 Raffles Quay,T0014,6 Raffles Quay S(048580),$2.50/30min from 7am to 8pm ,$3.00/entry after from 8pm to 11pm ,"$2.50/30min from 7am to 3pm, $3.00/entry after from 3pm to 7pm ",carpark close ,48580,30010.58981,29361.83841
79 Anson Road,T0014,"79 Anson Road, S(079906)",$2.00/30min from 7am to 6pm ,$4.00/entry from 6pm to 7am the following day ,"$2.00/30min from 7am to 1pm, $4.00/entry from 1pm to 11pm ",$4.00/entry from 7am to 7am the following day ,79906,29374.7477,28508.86002
8 Central Link,T0014,"8 Jalan Kilang Barat, S(159351)",$1.50/hr from 8am to 5pm ,$1.50/hr from 5pm to 8am the following day ,$1.50/hr from 8am to 8am the following day ,$1.50/hr from 8am to 8am the following day ,159351,25183.76135,29740.61686
991 Alexandra Road,T0014,"991B Alexandra Road, S(119970)",$1.60/hr from 6am to 7pm ,"$2.00/entry from 7pm to 3am the following day, $20.00/entry from 3am to 6am ",Charges same as weekdays ,"$2.00/entry from 6am to 3am the following day, $20.00/entry from 3am to 6am ",119970,24670.26092,28485.91153
9@Tagore,T0014,"9 Tagore Lane, S(787472)",$0.75/30min from 7am to 5.59pm ,"$1.50/entry from 6pm to 9.59pm, $3.00/entry from 10pm to 6.59am the following day ",Charges same as weekdays ,$3.00/entry from 7am to 6.59am the following day ,787472,27190.9503,40664.7944
Abacus Plaza,T0014,"3 Tampines Central 1, S(529540)",$2.00/hr form 8am to 5pm ,"$2.50/entry from 5pm to 12midnight, $10.00/entry from 12midnight to 8am the following day ",Charges same as weekdays  ,$2.50/entry from 8am to 8am the following day  ,529540,40199.86498,37194.23482
ABI Plaza,T0014,"11 Keppel Road, S(089057)","$4.28 for 1st hr, $2.68 for next subsequent 30min from 8am to 6pm ","$4,28/entry from 6pm to 8am the following day ","Charges same as weekdays, $4.28/entry from 1pm to 8am the following day ",$4.28/entry from 8am to 8am the following day ,89057,29062.74702,28399.82718
Admirax,T0014,"8 Admiralty Street, S(757438)",$1.00/hr from 7am to 10pm ,Carpark closed after 10pm daily ,$1.00/hr from 7am to 3pm ,Carpark closed ,757438,26063.39033,49326.8658
Aero-Green Technology,T0014,"260 Neo Tiew Crescent, S(718899)",Free parking from 9am to 5pm daily ,Car Park closed after 5pm ,Charges same as weekdays ,Charges same as weekdays ,718899,16601.59743,47215.80196
AIA Tower,T0014,"1 Robinson Road, S(048542)",Season parking only ,Season parking only ,Season parking only ,Season parking only ,48542,29981.42869,29381.10029
Albert Complex,T0014,"60 Albert Street, S(189969)",$1.20/30min from 7am to 11pm daily ,$1.20/30min from 7am to 11pm daily ,Charges same as weekdays ,Charges same as weekdays ,189969,30278.78769,31635.87811
AMK Autopoint,T0014,"10 Ang Mo Kio Industrial Park 2A, S(568047)","$2.00/entry from 12midnight to 7am, $0.50 for next subsequent 30min from 7am to 10.30pm ",$2.00/entry from 10.30pm to 12midnight ,Charges same as weekdays ,"$2.00/entry from 12midnight to 7am, free parking from 7am to 10.30pm, $2.00/entry from 10.30pm to 12midnight ",568047,31938.38666,39884.66721
