car_park_no,address,x_coord,y_coord,night_parking
A0004,ALIWAL STREET ,31063.017,31665.0933,YES
A0005,ALLENBY ROAD ,30873.0177,32533.6617,YES
A0006,AMOY STREET ,29548.345,29292.548,YES
A0007,ANGULLIA PARK OFF STREET,27582.895,31962.0601,YES
A0008,ANN SIANG ROAD ,29394.9904,29258.879,YES
A0010,ARAB STREET ,30770.0173,31622.8216,YES
A0011,ARMENIAN STREET OFF STREET,29730.2995,30701.2921,YES
A0017,ARAB STREET / QUEEN STREET OFF STREET,30638.3394,31698.2199,YES
A0021,AMOY STREET OFF STREET ,29542.3676,29248.8218,YES
A0024,ADAM ROAD FOOD CENTRE OFF STREET,25838.8021,34044.9773,YES
A0025,ADAM ROAD / DUNEARN CLOSE OFF STREET,25863.4915,34079.5138,YES
A0028,ALJUNIED ROAD (MINOR) ,33156.0403,34185.9516,YES
A0034,ANAMALAI AVENUE ,23702.1769,34763.1123,YES
A0035,ANTHONY ROAD OFF STREET,28397.8012,32511.4312,YES
A0036,ANG MO KIO STREET 62 ,29316.1028,40988.2535,YES
A0037,ANG MO KIO STREET 64 ,29771.1219,41071.0365,YES
A0043,AYER RAJAH CRESCENT ,23054.9879,30643.1983,YES
A0046,ALJUNIED ROAD OFF STREET,33394.2043,32909.1642,YES
A0048,ANG MO KIO STREET 63 ,29661.3865,40850.2452,YES
A0054,ANCHORVALE STREET ,33882.9035,42162.508,YES
A0057,AROOZOO AVENUE ,33699.8791,37452.5108,YES
B0001,BUKIT TIMAH ROAD ,25331.1094,34088.1902,YES
B0002,BAGHDAD STREET ,30966.0812,31522.0261,YES
B0005,BANDA STREET / SAGO LANE OFF STREET,29177.6102,29300.2673,YES
B0008,BEATTY ROAD ,30807.6229,32914.1039,YES
B0011,BIRCH ROAD ,30293.329,32587.3226,YES
B0018,BUKIT PASOH ROAD ,28826.431,29044.9458,YES
B0020,BUSSORAH STREET ,30974.3926,31478.2683,YES
B0022,BEATTY LANE ,30994.5678,32711.1398,YES
B0023,BENG WAN ROAD OFF STREET,31590.1042,33984.3865,YES
B0025,BALI LANE ,30792.3841,31500.7499,YES
B0028,BALESTIER ROAD ,30212.0634,33765.4334,YES
B0029,BHAMO ROAD ,29816.1477,34101.8351,YES
B0031,BEATTY ROAD OFF STREET,30925.4708,32933.2541,YES
B0032,BUKIT TIMAH MARKET OFF STREET,21665.164,35695.2402,YES
B0033,BOON TECK ROAD ,29803.4139,34271.7315,YES
B0035,BELILIOS LANE OFF STREET,30044.9978,32194.9424,YES
B0042,BENOI SECTOR ,11422.2058,33540.1602,YES
B0045,BLAIR ROAD ,28318.7963,28736.9604,YES
B0052,BANDA STREET ,29144.8796,29292.464,YES
B0062,BUFFALO ROAD SERVICE ROAD,29925.9043,32165.4233,YES
B0063,BUKIT BATOK NATURE PARK OFF STREET,20005.2768,36613.7528,YES
B0067,BURN ROAD ,33816.3298,35275.5294,YES
B0073,BOON TAT STREET ,29643.9987,29316.4055,YES
B0084,BEACH ROAD ,31024.429,31452.6125,YES
B0087,BAGHDAD STREET OFF STREET,31011.1577,31517.0537,YES
B0088,BEDOK ROAD FOOD CENTRE OFF STREET,41565.8225,33682.3249,YES
B0090,BENOI ROAD ,10873.7719,31633.5083,YES
B0096,BUKIT TIMAH LINK OFF STREET,21717.7944,35943.5488,YES
B0099,BENDEMEER ROAD HEAVY VEHICLE PARK,31085.5229,32945.4722,YES
B0100,BRIGHTON CRESCENT ,32206.689,38328.8204,YES
C0004,CARPENTER STREET ,29613.4454,30059.4514,YES
C0009,CHANDER ROAD ,29990.3593,32252.5495,YES
C0011,CHEONG CHIN NAM ROAD ,21527.2337,36199.4721,YES
C0018,CIRCULAR ROAD ,29760.0137,29871.9436,YES
C0022,CLUB STREET ,29385.8207,29373.6107,YES
C0028,CUFF ROAD ,30191.9605,32143.9604,YES
C0036,CLAYMORE ROAD ,27667.6272,32217.3029,YES
C0038,CLAYMORE HILL ,27834.4449,32299.3104,YES
C0039,CORONATION WALK ,25313.8048,33963.7304,YES
C0041,CHIN BEE ROAD ,14550.6026,34799.402,YES
C0045,CHIN BEE DRIVE ,14730.4121,35365.1993,YES
C0053,CAIRNHILL ROAD SERVICE ROAD,28424.1111,32268.9728,YES
C0057,CASUARINA ROAD ,27406.0252,39879.5589,YES
C0058,CLEMENCEAU AVENUE ,29171.4486,31120.996,YES
C0063,CHENG YAN PLACE ,30363.7074,31373.7871,YES
C0097,CAMPBELL LANE ,30147.2092,31948.6197,YES
C0098,CLIVE STREET ,30138.2968,31996.6172,YES
C0104,CAVAN ROAD ,31145.392,32584.4432,YES
C0110,COOK STREET ,29224.068,29028.6891,YES
C0113,CHANGI ROAD (BET JALAN KEMBANGAN/STILL ROAD),36546.2105,33431.5619,YES
C0114,CHANGI ROAD SERVICE ROAD,36237.0808,33352.8565,YES
C0118,CEYLON ROAD ,35742.7038,31971.6647,YES
C0119,CEYLON ROAD OFF STREET ,35357.921,32462.723,YES
C0120,CHIA PING ROAD ,15178.9962,34544.3036,YES
C0122,CHANGI VILLAGE ROAD ,45128.5034,41200.5341,YES
C0126,CHANGI SOUTH AVENUE 2 ,43200.1699,34923.2902,YES
C0128,CHANGI SOUTH AVENUE 4 ,43284.9106,35258.181,YES
C0129,CHANGI SOUTH STREET 1 ,43067.3073,35115.18,YES
C0130,CHANGI SOUTH STREET 2 ,42425.1009,34825.7223,YES
C0132,CHANGI ROAD (BET JOO CHIAT ROAD/STILL ROAD),35697.8004,33266.4821,YES
C0133,CARPENTER STREET OFF STREET,29654.2722,30075.4066,YES
C0134,CIRCUIT ROAD ,33759.5761,34154.1107,YES
C0135,CRANE ROAD ,35369.821,32799.4849,YES
C0136,CEYLON LANE ,35494.2679,32617.6621,YES
C0142,CHANG CHARN ROAD ,25558.5598,30157.2359,YES
C0147,CHANGI ROAD / JALAN WAKAFF OFF STREET,36617.2082,33429.6744,YES
C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),28716.2498,32600.2734,YES
C0151,CHANGI BEACH PARK CP 1 ,45379.5798,41500.62,YES
C0152,CHANGI BEACH PARK CP 2 ,45592.798,41452.6371,YES
C0153,CHANGI BEACH PARK CP 3 ,45690.9143,41399.3645,YES
C0154,CHANGI BEACH PARK CP 4 ,45901.5976,41336.5663,YES
C0155,CHANGI BEACH PARK CP 5 ,46069.6326,41317.5754,YES
C0156,CHANGI BEACH PARK CP 6 ,46664.9757,40701.5632,YES
C0157,CHANGI NORTH CRESCENT ,42880.1598,36866.0728,YES
C0158,CHANGI NORTH RISE ,43196.783,36720.1064,YES
C0159,CHANGI NORTH STREET 1 ,43222.7033,36867.2879,YES
C0160,CHANGI NORTH STREET 2 ,42822.808,37018.089,YES
C0161,CHANGI SOUTH LANE ,41256.8877,34928.3982,YES
C0162,CLEMENCEAU AVENUE OFF STREET,29246.2593,30706.5089,YES
D0001,DEVONSHIRE ROAD ,28499.9152,31187.865,YES
D0002,DUBLIN ROAD ,28713.8073,31195.3602,YES
D0004,DICKSON ROAD ,30278.5138,31984.373,YES
D0005,DUNLOP STREET ,30227.5884,31945.7722,YES
D0006,DUXTON HILL OFF STREET ,29085.9986,29064.2635,YES
D0009,DESKER ROAD ,30467.2878,32349.4972,YES
D0010,DUXTON ROAD ,29118.8147,29019.5699,YES
D0012,DALHOUSIE LANE ,30105.5963,31915.2647,YES
D0017,DUNEARN CLOSE ,25952.3748,34139.3254,YES
D0026,DICKSON ROAD OFF STREET,30253.4988,32024.8859,YES
D0027,DUNMAN ROAD FOOD CENTRE OFF STREET,35610.9665,32423.5369,YES
D0028,DELTA CIRCUS FRINGE CAR PARK,27035.7463,30190.3283,YES
E0009,EMERALD HILL ROAD ,28650.5333,31652.3791,YES
E0011,EMERALD LINK ,28571.3662,31604.7616,YES
E0017,EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),35711.4982,31747.4041,YES
E0022,EVERTON ROAD ,28491.4301,28783.8302,YES
E0023,EAST COAST PARK E3 OFF STREET,39454.6771,32329.4854,YES
E0024,EAST COAST PARK E2 OFF STREET,39407.6997,32185.7007,YES
E0027,EAST COAST PARK E1 OFF STREET,38758.963,32135.3705,YES
E0031,EAN KIAM PLACE ,35636.9568,31916.5917,YES
E0033,EAST COAST ROAD (BET FRANKEL AVE/SIGLAP RD),37934.0393,32702.0826,YES
E0034,EVERITT ROAD NORTH ,35589.1649,33141.653,YES
E0035,EVERITT ROAD ,35600.0847,32951.5746,YES
E0037,EAST COAST ROAD (BET SIGLAP RD/JALAN JAMAL),38163.5326,32726.474,YES
F0001,FORT CANNING PARK A OFF STREET,29579.5157,30978.9806,YES
F0002,FOCH ROAD ,30988.5551,32757.0583,YES
F0006,FLANDERS SQUARE ,30683.4458,32717.2688,YES
F0021,FIRST LOK YANG ROAD ,12436.4262,34235.8567,YES
F0022,FORT CANNING PARK B OFF STREET,29473.4852,30972.1404,YES
F0025,FOURTH LOK YANG ROAD ,11823.3262,34264.1706,YES
F0026,FIFTH LOK YANG ROAD ,11617.9446,34243.0566,YES
F0027,FORT CANNING PARK C OFF STREET,29301.067,30993.0826,YES
F0029,FORT ROAD/EAST COAST PARK HV PARK,33681.9672,30824.9458,YES
F0030,FARLEIGH AVENUE ,31567.2343,38527.6661,YES
F0031,FARLEIGH AVENUE OFF STREET,31601.9657,38469.0277,YES
G0002,GEYLANG ROAD ,32507.2846,32591.0322,YES
G0018,GENTING LANE ,32920.4847,34184.1198,YES
G0021,GENTING ROAD ,32641.6679,34507.4067,YES
G0022,GENTING LINK ,32561.6513,34538.4491,YES
G0026,GUL CIRCLE ,10559.0099,33426.4881,YES
G0027,GUL AVENUE ,9821.2515,33025.2022,YES
G0028,GUL DRIVE ,9748.2877,33270.9497,YES
G0029,GUL LANE ,9024.2293,32821.8658,YES
G0030,GUL CRESCENT ,9034.0496,32503.6956,YES
G0032,GUL STREET 1 ,9688.8619,33318.2602,YES
G0033,GUL STREET 2 ,9631.0784,33412.368,YES
G0034,GUL STREET 3 ,9474.2806,33384.407,YES
G0035,GUL STREET 4 ,9301.1663,33373.7954,YES
G0036,GUL STREET 5 ,9090.2304,33258.2532,YES
G0037,GENTING LANE OFF STREET,32966.2229,34150.5457,YES
G0038,GUL ROAD ,9966.152,30828.897,YES
G0039,GUILLEMARD ROAD ,34701.5578,32940.9207,YES
G0040,GEMMILL LANE ,29536.7219,29430.1923,YES
G0043,GOODLINK PARK / JALAN MATA AYER OFF STREET,27164.3712,45292.1784,YES
H0003,HAMILTON ROAD OFF STREET,31163.6379,32665.515,YES
H0004,HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,23475.1478,32692.9625,YES
H0006,HINDOO ROAD ,30313.8799,32299.8907,YES
H0007,HULLET ROAD ,28526.5147,31754.3454,YES
H0011,HOLLAND DRIVE OFF STREET,23536.0411,32555.5182,YES
H0012,HONG KONG STREET ,29566.2705,29992.1345,YES
H0015,HINDOO ROAD OFF STREET ,30308.9887,32322.7756,YES
H0021,HILLVIEW TERRACE ,19615.579,37194.5048,YES
H0022,HULLET ROAD OFF STREET ,28637.0785,31726.799,YES
H0024,HONG LIM PARK OFF STREET,29559.0015,29869.2184,YES
H0028,HAMILTON ROAD ,31086.4976,32635.9231,YES
