car_park_no,weekday_rate,sat_rate,sun_rate,From,To
A0004,0.6,0.6,0.6,08.30 AM,10.00 PM
A0005,0.6,0.6,0.6,08.30 AM,10.00 PM
A0006,1.2,1.2,0.6,08.30 AM,05.00 PM
A0006,0.6,0.6,0.6,05.00 PM,10.00 PM
A0007,1.3,1.3,0.7,07.00 AM,11.00 AM
A0007,1.5,1.5,0.8,11.00 AM,05.00 PM
A0007,0.8,0.8,0.8,05.00 PM,10.30 PM
A0007,0.7,0.7,0.7,10.30 PM,07.00 AM
A0008,1.2,1.2,0.6,08.30 AM,05.00 PM
A0008,0.6,0.6,0.6,05.00 PM,10.00 PM
A0010,0.6,0.6,0.6,08.30 AM,10.00 PM
A0011,1.2,1.2,0.6,07.00 AM,11.00 AM
A0011,1.4,1.4,0.75,11.00 AM,02.00 PM
A0011,1.4,1.4,0.75,02.00 PM,05.00 PM
A0011,0.6,0.6,0.6,05.00 PM,10.30 PM
A0011,0.6,0.6,0.6,10.30 PM,07.00 AM
A0017,0.6,0.6,0.6,08.30 AM,10.00 PM
A0021,1.5,1.2,0.6,07.00 AM,05.00 PM
A0021,0.6,0.6,0.6,05.00 PM,10.30 PM
A0021,0.6,0.6,0.6,10.30 PM,07.00 AM
A0024,0.6,0.6,0.6,07.00 AM,10.30 PM
A0024,0.6,0.6,0.6,10.30 PM,07.00 AM
A0025,0.6,0.6,0.6,08.30 AM,10.00 PM
A0028,0.6,0.6,0,08.30 AM,05.00 PM
A0034,0.6,0.6,0,08.30 AM,05.00 PM
A0035,0.6,0.6,0.6,07.00 AM,11.00 AM
A0035,0.75,0.6,0.6,11.00 AM,05.00 PM
A0035,0.6,0.6,0.6,05.00 PM,10.30 PM
A0035,0.6,0.6,0.6,10.30 PM,07.00 AM
A0036,0.6,0.6,0.6,07.00 AM,10.30 PM
A0036,0.6,0.6,0.6,10.30 PM,07.00 AM
A0037,0.6,0.6,0.6,07.00 AM,10.30 PM
A0037,0.6,0.6,0.6,10.30 PM,07.00 AM
A0043,0.6,0.6,0.6,07.00 AM,07.00 PM
A0046,0.6,0.6,0.6,07.00 AM,10.30 PM
A0046,0.6,0.6,0.6,10.30 PM,07.00 AM
A0048,0.6,0.6,0.6,07.00 AM,10.30 PM
A0048,0.6,0.6,0.6,10.30 PM,07.00 AM
A0054,0.6,0.6,0.6,07.00 AM,10.30 PM
A0054,0.6,0.6,0.6,10.30 PM,07.00 AM
A0057,0.6,0.6,0.6,07.00 AM,10.30 PM
A0057,0.6,0.6,0.6,10.30 PM,07.00 AM
B0001,0.6,0.6,0,08.30 AM,05.00 PM
B0002,0.6,0.6,0.6,08.30 AM,10.00 PM
B0005,1.2,1.2,0.6,08.30 AM,05.00 PM
B0005,0.6,0.6,0.6,05.00 PM,10.00 PM
B0008,0.6,0.6,0.6,08.30 AM,10.00 PM
B0011,0.6,0.6,0.6,08.30 AM,10.00 PM
B0018,1.2,1.2,0.6,08.30 AM,05.00 PM
B0018,0.6,0.6,0.6,05.00 PM,10.00 PM
B0020,0.6,0.6,0.6,08.30 AM,10.00 PM
B0022,0.6,0.6,0.6,08.30 AM,10.00 PM
B0023,0.6,0.6,0,07.00 AM,10.30 PM
B0023,0.6,0.6,0,10.30 PM,07.00 AM
B0025,0.6,0.6,0.6,08.30 AM,10.00 PM
B0028,0.6,0.6,0.6,08.30 AM,10.00 PM
B0029,0.6,0.6,0.6,08.30 AM,10.00 PM
B0031,0.6,0.6,0.6,07.00 AM,10.30 PM
B0031,0.6,0.6,0.6,10.30 PM,07.00 AM
B0032,0.6,0.7,0.7,07.00 AM,11.00 AM
B0032,0.7,0.7,0.7,11.00 AM,02.00 PM
B0032,0.6,0.6,0.6,02.00 PM,10.30 PM
B0032,0.6,0.6,0.6,10.30 PM,07.00 AM
B0033,0.6,0.6,0.6,08.30 AM,10.00 PM
B0035,0.6,0.6,0.6,08.30 AM,10.00 PM
B0042,0.6,0.6,0,08.30 AM,05.00 PM
B0045,1.2,1.2,0.6,07.00 AM,05.00 PM
B0045,0.6,0.6,0.6,05.00 PM,10.00 PM
B0052,1.2,1.2,0.6,08.30 AM,05.00 PM
B0052,0.6,0.6,0.6,05.00 PM,10.00 PM
B0062,0.6,0.6,0.6,08.30 AM,10.00 PM
B0063,0.6,0.6,0.6,07.00 AM,10.30 PM
B0063,0.6,0.6,0.6,10.30 PM,07.00 AM
B0067,0.6,0.6,0,08.30 AM,05.00 PM
B0073,1.2,1.2,0.6,08.30 AM,05.00 PM
B0073,0.6,0.6,0.6,05.00 PM,10.00 PM
B0084,0.6,0.6,0.6,08.30 AM,10.00 PM
B0087,0.6,0.6,0.6,07.00 AM,11.00 AM
B0087,0.75,0.75,0.75,11.00 AM,05.00 PM
B0087,0.6,0.75,0.75,05.00 PM,10.30 PM
B0087,0.6,0.6,0.6,10.30 PM,07.00 AM
B0088,0.6,0.6,0.6,07.00 AM,10.30 PM
B0088,0.6,0.6,0.6,10.30 PM,07.00 AM
B0090,0.6,0.6,0,08.30 AM,05.00 PM
B0096,0.6,0.6,0.6,07.00 AM,10.30 PM
B0096,0.6,0.6,0.6,10.30 PM,07.00 AM
B0099,0.6,0.6,0.6,07.00 AM,10.30 PM
B0099,0.6,0.6,0.6,10.30 PM,07.00 AM
B0100,0.6,0.6,0,08.30 AM,10.00 PM
C0004,1.2,1.2,0.6,08.30 AM,05.00 PM
C0004,0.6,0.6,0.6,05.00 PM,10.00 PM
C0009,0.6,0.6,0.6,08.30 AM,10.00 PM
C0011,0.6,0.6,0.6,08.30 AM,10.00 PM
C0018,1.2,1.2,0.6,08.30 AM,05.00 PM
C0018,0.6,0.6,0.6,05.00 PM,10.00 PM
C0022,1.2,1.2,0.6,08.30 AM,05.00 PM
C0022,0.6,0.6,0.6,05.00 PM,10.00 PM
C0028,0.6,0.6,0,08.30 AM,10.00 PM
C0036,1.2,1.2,0.6,08.30 AM,05.00 PM
C0036,0.6,0.6,0.6,05.00 PM,10.00 PM
C0038,1.2,1.2,0.6,08.30 AM,05.00 PM
C0038,0.6,0.6,0.6,05.00 PM,10.00 PM
C0039,0.6,0.6,0,08.30 AM,05.00 PM
C0041,0.6,0.6,0,08.30 AM,05.00 PM
C0045,0.6,0.6,0,08.30 AM,05.00 PM
C0053,0.6,0.6,0,08.30 AM,05.00 PM
C0057,0.6,0.6,0,08.30 AM,05.00 PM
C0058,1.2,1.2,0.6,08.30 AM,05.00 PM
C0058,0.6,0.6,0.6,05.00 PM,10.00 PM
C0063,1.2,1.2,0.6,08.30 AM,05.00 PM
C0063,0.6,0.6,0.6,05.00 PM,10.00 PM
C0097,0.6,0.6,0,08.30 AM,10.00 PM
C0098,0.6,0.6,0,08.30 AM,10.00 PM
C0104,0.6,0.6,0.6,08.30 AM,10.00 PM
C0110,1.2,1.2,0.6,08.30 AM,05.00 PM
C0110,0.6,0.6,0.6,05.00 PM,10.00 PM
C0113,0.6,0.6,0,08.30 AM,10.00 PM
C0114,0.6,0.6,0,08.30 AM,10.00 PM
C0118,0.6,0.6,0.6,08.30 AM,10.00 PM
C0119,0.6,0.6,0.6,07.00 AM,10.30 PM
C0119,0.6,0.6,0.6,10.30 PM,07.00 AM
C0120,0.6,0.6,0,08.30 AM,05.00 PM
C0122,0.6,0.6,0.6,07.00 AM,10.00 PM
C0126,0.6,0.6,0,08.30 AM,05.00 PM
C0128,0.6,0.6,0,08.30 AM,05.00 PM
C0129,0.6,0.6,0,08.30 AM,05.00 PM
C0130,0.6,0.6,0,08.30 AM,05.00 PM
C0132,0.6,0.6,0.6,08.30 AM,10.00 PM
C0133,1.2,1.2,0.6,07.00 AM,11.00 AM
C0133,1.5,1.5,0.6,11.00 AM,02.00 PM
C0133,1.5,1.5,0.75,02.00 PM,05.00 PM
C0133,0.75,0.75,0.6,05.00 PM,10.30 PM
C0133,0.6,0.6,0.6,10.30 PM,07.00 AM
C0134,0.6,0.6,0.6,07.00 AM,10.30 PM
C0134,0.6,0.6,0.6,10.30 PM,07.00 AM
C0135,0.6,0.6,0.6,08.30 AM,10.00 PM
C0136,0.6,0.6,0.6,08.30 AM,10.00 PM
C0142,0.6,0.6,0.6,07.00 AM,10.30 PM
C0142,0.6,0.6,0.6,10.30 PM,07.00 AM
C0147,0.6,0.6,0,08.30 AM,10.00 PM
C0148,0.6,0.6,0.6,07.00 AM,10.30 PM
C0148,0.6,0.6,0.6,10.30 PM,07.00 AM
C0151,0.6,0.6,0,08.30 AM,05.00 PM
C0152,0.6,0.6,0,08.30 AM,05.00 PM
C0153,0.6,0.6,0,08.30 AM,05.00 PM
C0154,0.6,0.6,0,08.30 AM,05.00 PM
C0155,0.6,0.6,0,08.30 AM,05.00 PM
C0156,0.6,0.6,0,08.30 AM,05.00 PM
C0157,0.6,0.6,0.6,07.00 AM,07.00 PM
C0158,0.6,0.6,0.6,07.00 AM,07.00 PM
C0159,0.6,0.6,0.6,07.00 AM,07.00 PM
C0160,0.6,0.6,0.6,07.00 AM,07.00 PM
C0161,0.6,0.6,0.6,07.00 AM,07.00 PM
C0162,1.2,1.2,0.6,07.00 AM,05.00 PM
C0162,0.6,0.6,0.6,05.00 PM,10.30 PM
C0162,0.6,0.6,0.6,10.30 PM,07.00 AM
D0001,1.2,1.2,0.6,08.30 AM,05.00 PM
D0001,0.6,0.6,0.6,05.00 PM,10.00 PM
D0002,1.2,1.2,0.6,08.30 AM,05.00 PM
D0002,0.6,0.6,0.6,05.00 PM,10.00 PM
D0004,0.6,0.6,0,08.30 AM,10.00 PM
D0005,0.6,0.6,0,08.30 AM,10.00 PM
D0006,1.2,1.2,0.6,07.00 AM,05.00 PM
D0006,0.6,0.6,0.6,05.00 PM,10.30 PM
D0006,0.6,0.6,0.6,10.30 PM,07.00 AM
D0009,0.6,0.6,0,08.30 AM,10.00 PM
D0010,1.2,1.2,0.6,08.30 AM,05.00 PM
D0010,0.6,0.6,0.6,05.00 PM,10.00 PM
D0012,0.6,0.6,0,08.30 AM,10.00 PM
D0017,0.6,0.6,0.6,08.30 AM,10.00 PM
D0026,0.6,0.6,0.6,07.00 AM,10.30 PM
D0026,0.6,0.6,0.6,10.30 PM,07.00 AM
D0027,0.6,0.6,0.6,08.30 AM,10.00 PM
D0028,0.6,0.6,0.6,07.00 AM,10.30 PM
D0028,0.6,0.6,0.6,10.30 PM,07.00 AM
E0009,1.2,1.2,0.6,07.00 AM,05.00 PM
E0009,0.6,0.6,0.6,05.00 PM,10.30 PM
E0009,0.6,0.6,0.6,10.30 PM,07.00 AM
E0011,1.2,1.2,0.6,07.00 AM,05.00 PM
E0011,0.6,0.6,0.6,05.00 PM,10.30 PM
E0011,0.6,0.6,0.6,10.30 PM,07.00 AM
E0017,0.6,0.6,0.6,08.30 AM,10.00 PM
E0022,1.2,1.2,0.6,07.00 AM,05.00 PM
E0022,0.6,0.6,0.6,05.00 PM,10.00 PM
E0023,0.6,0.6,0.6,07.00 AM,10.30 PM
E0023,0.6,0.6,0.6,10.30 PM,07.00 AM
E0024,0.6,0.6,0.6,07.00 AM,10.30 PM
E0024,0.6,0.6,0.6,10.30 PM,07.00 AM
E0027,0.6,0.6,0.6,07.00 AM,10.30 PM
E0027,0.6,0.6,0.6,10.30 PM,07.00 AM
E0031,0.6,0.6,0.6,08.30 AM,10.00 PM
E0033,0.6,0.6,0,08.30 AM,05.00 PM
E0034,0.6,0.6,0.6,08.30 AM,10.00 PM
E0035,0.6,0.6,0.6,08.30 AM,10.00 PM
E0037,0.6,0.6,0.6,08.30 AM,10.00 PM
F0001,1.2,1.2,0,08.30 AM,05.00 PM
F0002,0.6,0.6,0.6,08.30 AM,10.00 PM
F0006,0.6,0.6,0.6,08.30 AM,10.00 PM
F0021,0.6,0.6,0,08.30 AM,05.00 PM
F0022,1.2,1.2,0,08.30 AM,05.00 PM
F0025,0.6,0.6,0,08.30 AM,05.00 PM
