car_park_no,Pricing,From,To
ACB,1.2,7:00:00,17:00:00
BBB,1.2,7:00:00,17:00:00
BRB1,1.2,7:00:00,17:00:00
CY,1.2,7:00:00,17:00:00
DUXM,1.2,7:00:00,17:00:00
HLM,1.2,7:00:00,17:00:00
KAB,1.2,7:00:00,17:00:00
KAM,1.2,7:00:00,17:00:00
KAS,1.2,7:00:00,17:00:00
PRM,1.2,7:00:00,17:00:00
SLS,1.2,7:00:00,17:00:00
SR1,1.2,7:00:00,17:00:00
TPM,1.2,7:00:00,17:00:00
UCS,1.2,7:00:00,17:00:00
WCB,1.2,7:00:00,17:00:00
ACB,0.6,17:01:00,6:59:00
BBB,0.6,17:01:00,6:59:00
BRB1,0.6,17:01:00,6:59:00
CY,0.6,17:01:00,6:59:00
DUXM,0.6,17:01:00,6:59:00
HLM,0.6,17:01:00,6:59:00
KAB,0.6,17:01:00,6:59:00
KAM,0.6,17:01:00,6:59:00
KAS,0.6,17:01:00,6:59:00
PRM,0.6,17:01:00,6:59:00
SLS,0.6,17:01:00,6:59:00
SR1,0.6,17:01:00,6:59:00
TPM,0.6,17:01:00,6:59:00
UCS,0.6,17:01:00,6:59:00
WCB,0.6,17:01:00,6:59:00
